Product line,Unit price,Quantity,Tax 5%,Total,Payment
Sports and travel,79,10,39.5,829.5,Cash
Health and beauty,18,1,0.9,18.9,Cash
Food and beverages,89,10,44.5,934.5,Credit card
Fashion accessories,62,10,31,651,Cash
Food and beverages,49,3,7.35,154.35,Ewallet
Electronic accessories,76,6,22.8,478.8,Cash
Home and lifestyle,75,9,33.75,708.75,Ewallet
Electronic accessories,42,10,21,441,Credit card
Fashion accessories,49,9,22.05,463.05,Credit card
Fashion accessories,20,9,9,189,Credit card
Food and beverages,78,10,39,819,Ewallet
Health and beauty,20,5,5,105,Cash
Health and beauty,99,6,29.7,623.7,Credit card
Food and beverages,97,3,14.55,305.55,Ewallet
Food and beverages,19,8,7.6,159.6,Ewallet
Food and beverages,80,4,16,336,Credit card
Sports and travel,49,5,12.25,257.25,Cash
Sports and travel,83,7,29.05,610.05,Ewallet
Fashion accessories,77,5,19.25,404.25,Cash
Food and beverages,49,7,17.15,360.15,Credit card
Sports and travel,42,1,2.1,44.1,Cash
Health and beauty,77,6,23.1,485.1,Cash
Home and lifestyle,47,4,9.4,197.4,Cash
Sports and travel,45,10,22.5,472.5,Ewallet
Sports and travel,22,7,7.7,161.7,Ewallet
Health and beauty,64,9,28.8,604.8,Credit card
Health and beauty,90,1,4.5,94.5,Credit card
Electronic accessories,97,1,4.85,101.85,Ewallet
Health and beauty,88,10,44,924,Ewallet
Electronic accessories,12,6,3.6,75.6,Cash
Food and beverages,53,3,7.95,166.95,Ewallet
Home and lifestyle,83,6,24.9,522.9,Cash
Fashion accessories,49,1,2.45,51.45,Cash
Fashion accessories,79,9,35.55,746.55,Cash
Electronic accessories,23,9,10.35,217.35,Cash
Food and beverages,58,6,17.4,365.4,Cash
Health and beauty,30,7,10.5,220.5,Cash
Electronic accessories,89,10,44.5,934.5,Ewallet
Fashion accessories,27,6,8.1,170.1,Credit card
Sports and travel,62,6,18.6,390.6,Cash
Food and beverages,34,9,15.3,321.3,Cash
Electronic accessories,82,10,41,861,Cash
Sports and travel,16,2,1.6,33.6,Ewallet
Health and beauty,98,3,14.7,308.7,Credit card
Fashion accessories,73,7,25.55,536.55,Cash
Home and lifestyle,58,9,26.1,548.1,Ewallet
Home and lifestyle,81,9,36.45,765.45,Credit card
Fashion accessories,27,3,4.05,85.05,Credit card
Fashion accessories,22,5,5.5,115.5,Ewallet
Fashion accessories,51,1,2.55,53.55,Ewallet
Food and beverages,11,10,5.5,115.5,Ewallet
Home and lifestyle,53,2,5.3,111.3,Ewallet
Electronic accessories,100,8,40,840,Credit card
Sports and travel,57,7,19.95,418.95,Credit card
Sports and travel,100,9,45,945,Credit card
Home and lifestyle,64,8,25.6,537.6,Credit card
Fashion accessories,56,8,22.4,470.4,Ewallet
Home and lifestyle,94,7,32.9,690.9,Credit card
Sports and travel,32,5,8,168,Cash
Fashion accessories,32,9,14.4,302.4,Credit card
Food and beverages,69,8,27.6,579.6,Ewallet
Sports and travel,90,9,40.5,850.5,Ewallet
Fashion accessories,40,7,14,294,Cash
Sports and travel,92,6,27.6,579.6,Cash
Sports and travel,35,4,7,147,Cash
Electronic accessories,87,6,26.1,548.1,Credit card
Health and beauty,81,6,24.3,510.3,Ewallet
Fashion accessories,90,3,13.5,283.5,Cash
Electronic accessories,26,5,6.5,136.5,Credit card
Home and lifestyle,34,6,10.2,214.2,Cash
Sports and travel,52,10,26,546,Cash
Sports and travel,73,8,29.2,613.2,Ewallet
Sports and travel,90,10,45,945,Credit card
Health and beauty,91,10,45.5,955.5,Cash
Health and beauty,69,10,34.5,724.5,Cash
Food and beverages,30,1,1.5,31.5,Credit card
Home and lifestyle,78,6,23.4,491.4,Ewallet
Health and beauty,46,6,13.8,289.8,Credit card
Fashion accessories,30,10,15,315,Ewallet
Health and beauty,66,4,13.2,277.2,Credit card
Home and lifestyle,72,8,28.8,604.8,Credit card
Health and beauty,32,8,12.8,268.8,Credit card
Fashion accessories,92,4,18.4,386.4,Credit card
Sports and travel,35,7,12.25,257.25,Credit card
Fashion accessories,83,9,37.35,784.35,Credit card
Food and beverages,16,6,4.8,100.8,Ewallet
Sports and travel,81,8,32.4,680.4,Cash
Food and beverages,92,5,23,483,Credit card
Electronic accessories,72,1,3.6,75.6,Cash
Home and lifestyle,50,5,12.5,262.5,Ewallet
Health and beauty,97,9,43.65,916.65,Ewallet
Sports and travel,93,6,27.9,585.9,Ewallet
Food and beverages,43,8,17.2,361.2,Credit card
Sports and travel,64,1,3.2,67.2,Cash
Food and beverages,46,7,16.1,338.1,Credit card
Sports and travel,76,2,7.6,159.6,Ewallet
Food and beverages,40,10,20,420,Credit card
Health and beauty,43,8,17.2,361.2,Ewallet
Home and lifestyle,96,10,48,1008,Cash
Fashion accessories,99,10,49.5,1039.5,Credit card
Food and beverages,51,6,15.3,321.3,Cash
Sports and travel,70,7,24.5,514.5,Credit card
Health and beauty,70,5,17.5,367.5,Ewallet
Food and beverages,80,5,20,420,Credit card
Electronic accessories,21,8,8.4,176.4,Cash
Electronic accessories,53,6,15.9,333.9,Credit card
Food and beverages,20,8,8,168,Ewallet
Home and lifestyle,34,9,15.3,321.3,Ewallet
Food and beverages,22,8,8.8,184.8,Credit card
Fashion accessories,23,7,8.05,169.05,Credit card
Food and beverages,74,6,22.2,466.2,Ewallet
Health and beauty,87,3,13.05,274.05,Ewallet
Fashion accessories,64,7,22.4,470.4,Cash
Food and beverages,38,8,15.2,319.2,Cash
Sports and travel,16,10,8,168,Ewallet
Health and beauty,34,8,13.6,285.6,Ewallet
Sports and travel,12,7,4.2,88.2,Credit card
Food and beverages,18,3,2.7,56.7,Ewallet
Home and lifestyle,94,8,37.6,789.6,Ewallet
Home and lifestyle,46,4,9.2,193.2,Cash
Home and lifestyle,74,1,3.7,77.7,Ewallet
Home and lifestyle,70,4,14,294,Credit card
Home and lifestyle,77,3,11.55,242.55,Credit card
Fashion accessories,74,2,7.4,155.4,Ewallet
Food and beverages,88,9,39.6,831.6,Cash
Home and lifestyle,26,4,5.2,109.2,Ewallet
Electronic accessories,33,5,8.25,173.25,Credit card
Fashion accessories,74,1,3.7,77.7,Cash
Health and beauty,44,2,4.4,92.4,Cash
Home and lifestyle,25,1,1.25,26.25,Ewallet
Health and beauty,42,4,8.4,176.4,Credit card
Food and beverages,71,5,17.75,372.75,Credit card
Sports and travel,19,6,5.7,119.7,Credit card
Electronic accessories,57,4,11.4,239.4,Cash
Electronic accessories,61,7,21.35,448.35,Cash
Health and beauty,26,10,13,273,Ewallet
Home and lifestyle,18,5,4.5,94.5,Credit card
Health and beauty,23,9,10.35,217.35,Ewallet
Electronic accessories,67,9,30.15,633.15,Credit card
Home and lifestyle,29,10,14.5,304.5,Ewallet
Fashion accessories,30,3,4.5,94.5,Ewallet
Electronic accessories,100,9,45,945,Credit card
Electronic accessories,26,9,11.7,245.7,Ewallet
Food and beverages,93,9,41.85,878.85,Cash
Home and lifestyle,92,5,23,483,Ewallet
Sports and travel,46,3,6.9,144.9,Credit card
Sports and travel,30,7,10.5,220.5,Cash
Home and lifestyle,18,1,0.9,18.9,Credit card
Sports and travel,25,5,6.25,131.25,Cash
Electronic accessories,95,3,14.25,299.25,Cash
Fashion accessories,95,8,38,798,Ewallet
Food and beverages,57,3,8.55,179.55,Credit card
Electronic accessories,45,6,13.5,283.5,Ewallet
Food and beverages,62,7,21.7,455.7,Ewallet
Electronic accessories,12,5,3,63,Cash
Fashion accessories,13,1,0.65,13.65,Cash
Food and beverages,43,2,4.3,90.3,Cash
Sports and travel,87,2,8.7,182.7,Credit card
Health and beauty,69,9,31.05,652.05,Ewallet
Electronic accessories,37,4,7.4,155.4,Ewallet
Electronic accessories,91,6,27.3,573.3,Cash
Home and lifestyle,63,8,25.2,529.2,Ewallet
Fashion accessories,81,2,8.1,170.1,Cash
Electronic accessories,11,3,1.65,34.65,Credit card
Health and beauty,84,9,37.8,793.8,Cash
Fashion accessories,74,4,14.8,310.8,Cash
Health and beauty,52,10,26,546,Ewallet
Sports and travel,93,2,9.3,195.3,Ewallet
Health and beauty,17,5,4.25,89.25,Credit card
Fashion accessories,44,5,11,231,Credit card
Electronic accessories,13,5,3.25,68.25,Cash
Fashion accessories,90,1,4.5,94.5,Ewallet
Food and beverages,25,9,11.25,236.25,Credit card
Health and beauty,60,2,6,126,Credit card
Fashion accessories,93,2,9.3,195.3,Credit card
Home and lifestyle,63,4,12.6,264.6,Cash
Home and lifestyle,94,8,37.6,789.6,Credit card
Home and lifestyle,48,8,19.2,403.2,Cash
Electronic accessories,81,3,12.15,255.15,Cash
Fashion accessories,18,5,4.5,94.5,Ewallet
Electronic accessories,78,4,15.6,327.6,Credit card
Food and beverages,73,7,25.55,536.55,Credit card
Food and beverages,47,9,21.15,444.15,Ewallet
Fashion accessories,35,10,17.5,367.5,Credit card
Sports and travel,14,2,1.4,29.4,Credit card
Home and lifestyle,24,4,4.8,100.8,Cash
Home and lifestyle,59,8,23.6,495.6,Cash
Fashion accessories,33,4,6.6,138.6,Cash
Electronic accessories,66,1,3.3,69.3,Credit card
Home and lifestyle,26,6,7.8,163.8,Ewallet
Electronic accessories,32,4,6.4,134.4,Ewallet
Electronic accessories,66,4,13.2,277.2,Credit card
Electronic accessories,75,9,33.75,708.75,Ewallet
Fashion accessories,16,4,3.2,67.2,Ewallet
Fashion accessories,38,4,7.6,159.6,Cash
Sports and travel,22,10,11,231,Cash
Sports and travel,54,1,2.7,56.7,Ewallet
Sports and travel,98,7,34.3,720.3,Credit card
Home and lifestyle,35,4,7,147,Credit card
Food and beverages,75,10,37.5,787.5,Cash
Home and lifestyle,71,4,14.2,298.2,Credit card
Home and lifestyle,36,10,18,378,Ewallet
Sports and travel,67,5,16.75,351.75,Ewallet
Health and beauty,21,2,2.1,44.1,Cash
Home and lifestyle,22,9,9.9,207.9,Credit card
Home and lifestyle,12,2,1.2,25.2,Cash
Health and beauty,100,6,30,630,Ewallet
Fashion accessories,48,7,16.8,352.8,Cash
Home and lifestyle,22,10,11,231,Cash
Fashion accessories,95,4,19,399,Ewallet
Fashion accessories,71,10,35.5,745.5,Cash
Sports and travel,44,10,22,462,Credit card
Home and lifestyle,70,8,28,588,Credit card
Home and lifestyle,37,1,1.85,38.85,Credit card
Sports and travel,15,1,0.75,15.75,Cash
Health and beauty,100,6,30,630,Ewallet
Health and beauty,48,4,9.6,201.6,Cash
Health and beauty,67,5,16.75,351.75,Cash
Home and lifestyle,75,1,3.75,78.75,Cash
Sports and travel,24,9,10.8,226.8,Cash
Food and beverages,49,7,17.15,360.15,Credit card
Home and lifestyle,95,7,33.25,698.25,Cash
Electronic accessories,40,10,20,420,Credit card
Electronic accessories,28,7,9.8,205.8,Ewallet
Electronic accessories,62,1,3.1,65.1,Cash
Food and beverages,36,2,3.6,75.6,Cash
Health and beauty,18,10,9,189,Ewallet
Electronic accessories,52,5,13,273,Cash
Electronic accessories,29,4,5.8,121.8,Cash
Home and lifestyle,78,6,23.4,491.4,Ewallet
Home and lifestyle,60,4,12,252,Cash
Home and lifestyle,89,1,4.45,93.45,Cash
Fashion accessories,100,2,10,210,Credit card
Health and beauty,39,1,1.95,40.95,Credit card
Food and beverages,49,1,2.45,51.45,Cash
Electronic accessories,51,4,10.2,214.2,Credit card
Electronic accessories,15,8,6,126,Cash
Electronic accessories,72,7,25.2,529.2,Ewallet
Sports and travel,40,7,14,294,Cash
Home and lifestyle,89,8,35.6,747.6,Cash
Electronic accessories,26,3,3.9,81.9,Ewallet
Fashion accessories,82,2,8.2,172.2,Cash
Sports and travel,80,6,24,504,Cash
Fashion accessories,69,2,6.9,144.9,Ewallet
Food and beverages,14,5,3.5,73.5,Credit card
Health and beauty,16,9,7.2,151.2,Cash
Electronic accessories,78,10,39,819,Cash
Food and beverages,99,2,9.9,207.9,Cash
Food and beverages,21,3,3.15,66.15,Cash
Electronic accessories,75,5,18.75,393.75,Cash
Health and beauty,30,7,10.5,220.5,Credit card
Health and beauty,44,4,8.8,184.8,Ewallet
Food and beverages,23,9,10.35,217.35,Cash
Health and beauty,39,1,1.95,40.95,Cash
Health and beauty,15,6,4.5,94.5,Ewallet
Fashion accessories,62,5,15.5,325.5,Cash
Home and lifestyle,22,6,6.6,138.6,Credit card
Sports and travel,98,4,19.6,411.6,Ewallet
Food and beverages,100,5,25,525,Cash
Food and beverages,94,4,18.8,394.8,Cash
Health and beauty,51,4,10.2,214.2,Credit card
Electronic accessories,36,4,7.2,151.2,Cash
Home and lifestyle,22,9,9.9,207.9,Cash
Food and beverages,33,3,4.95,103.95,Credit card
Fashion accessories,77,5,19.25,404.25,Cash
Food and beverages,23,2,2.3,48.3,Credit card
Sports and travel,15,5,3.75,78.75,Ewallet
Electronic accessories,28,5,7,147,Credit card
Fashion accessories,76,9,34.2,718.2,Ewallet
Sports and travel,58,6,17.4,365.4,Cash
Electronic accessories,48,3,7.2,151.2,Credit card
Food and beverages,43,9,19.35,406.35,Credit card
Electronic accessories,48,3,7.2,151.2,Credit card
Health and beauty,56,7,19.6,411.6,Ewallet
Health and beauty,77,7,26.95,565.95,Cash
Food and beverages,97,5,24.25,509.25,Ewallet
Sports and travel,45,3,6.75,141.75,Cash
Fashion accessories,78,9,35.1,737.1,Ewallet
Electronic accessories,72,1,3.6,75.6,Cash
Home and lifestyle,89,8,35.6,747.6,Cash
Electronic accessories,26,7,9.1,191.1,Cash
Health and beauty,14,10,7,147,Credit card
Fashion accessories,99,10,49.5,1039.5,Credit card
Electronic accessories,52,7,18.2,382.2,Cash
Fashion accessories,55,7,19.25,404.25,Credit card
Home and lifestyle,27,9,12.15,255.15,Cash
Electronic accessories,30,1,1.5,31.5,Cash
Food and beverages,89,4,17.8,373.8,Credit card
Fashion accessories,38,10,19,399,Credit card
Sports and travel,95,10,47.5,997.5,Cash
Electronic accessories,28,3,4.2,88.2,Ewallet
Sports and travel,75,1,3.75,78.75,Cash
Food and beverages,81,8,32.4,680.4,Credit card
Food and beverages,94,8,37.6,789.6,Cash
Food and beverages,100,2,10,210,Ewallet
Home and lifestyle,73,6,21.9,459.9,Cash
Food and beverages,41,4,8.2,172.2,Cash
Fashion accessories,82,4,16.4,344.4,Cash
Electronic accessories,51,9,22.95,481.95,Cash
Home and lifestyle,66,4,13.2,277.2,Cash
Sports and travel,14,10,7,147,Cash
Electronic accessories,22,9,9.9,207.9,Credit card
Electronic accessories,26,7,9.1,191.1,Cash
Fashion accessories,61,2,6.1,128.1,Credit card
Home and lifestyle,70,6,21,441,Ewallet
Fashion accessories,42,6,12.6,264.6,Cash
Home and lifestyle,67,5,16.75,351.75,Credit card
Fashion accessories,97,5,24.25,509.25,Ewallet
Home and lifestyle,35,9,15.75,330.75,Credit card
Sports and travel,95,7,33.25,698.25,Ewallet
Fashion accessories,97,4,19.4,407.4,Ewallet
Electronic accessories,24,4,4.8,100.8,Credit card
Sports and travel,82,4,16.4,344.4,Credit card
Electronic accessories,27,2,2.7,56.7,Cash
Food and beverages,100,5,25,525,Cash
Food and beverages,75,4,15,315,Ewallet
Food and beverages,41,5,10.25,215.25,Ewallet
Sports and travel,76,1,3.8,79.8,Cash
Food and beverages,47,6,14.1,296.1,Cash
Health and beauty,32,10,16,336,Credit card
Fashion accessories,54,9,24.3,510.3,Ewallet
Food and beverages,18,7,6.3,132.3,Credit card
Fashion accessories,80,3,12,252,Cash
Fashion accessories,38,10,19,399,Cash
Electronic accessories,77,1,3.85,80.85,Ewallet
Sports and travel,52,10,26,546,Credit card
Health and beauty,80,1,4,84,Ewallet
Health and beauty,78,5,19.5,409.5,Ewallet
Food and beverages,54,5,13.5,283.5,Ewallet
Home and lifestyle,14,9,6.3,132.3,Cash
Health and beauty,41,6,12.3,258.3,Credit card
Electronic accessories,19,9,8.55,179.55,Cash
Food and beverages,39,6,11.7,245.7,Credit card
Home and lifestyle,46,4,9.2,193.2,Credit card
Home and lifestyle,14,1,0.7,14.7,Ewallet
Fashion accessories,40,5,10,210,Ewallet
Fashion accessories,98,7,34.3,720.3,Ewallet
Sports and travel,67,4,13.4,281.4,Credit card
Food and beverages,14,5,3.5,73.5,Credit card
Fashion accessories,69,4,13.8,289.8,Cash
Home and lifestyle,57,4,11.4,239.4,Ewallet
Fashion accessories,24,5,6,126,Ewallet
Health and beauty,34,10,17,357,Cash
Sports and travel,22,2,2.2,46.2,Ewallet
Health and beauty,21,5,5.25,110.25,Cash
Sports and travel,26,3,3.9,81.9,Ewallet
Home and lifestyle,51,8,20.4,428.4,Ewallet
Health and beauty,96,1,4.8,100.8,Ewallet
Home and lifestyle,45,4,9,189,Credit card
Health and beauty,82,1,4.1,86.1,Ewallet
Health and beauty,57,2,5.7,119.7,Ewallet
Electronic accessories,25,7,8.75,183.75,Cash
Food and beverages,39,3,5.85,122.85,Ewallet
Electronic accessories,84,3,12.6,264.6,Cash
Fashion accessories,97,10,48.5,1018.5,Credit card
Fashion accessories,25,8,10,210,Credit card
Fashion accessories,16,1,0.8,16.8,Cash
Fashion accessories,41,9,18.45,387.45,Cash
Health and beauty,53,7,18.55,389.55,Cash
Food and beverages,21,3,3.15,66.15,Credit card
Sports and travel,67,5,16.75,351.75,Cash
Home and lifestyle,91,10,45.5,955.5,Ewallet
Fashion accessories,69,2,6.9,144.9,Credit card
Food and beverages,43,2,4.3,90.3,Ewallet
Electronic accessories,23,6,6.9,144.9,Ewallet
Fashion accessories,96,7,33.6,705.6,Credit card
Fashion accessories,47,1,2.35,49.35,Credit card
Sports and travel,99,9,44.55,935.55,Ewallet
Sports and travel,83,4,16.6,348.6,Ewallet
Home and lifestyle,34,6,10.2,214.2,Credit card
Food and beverages,17,4,3.4,71.4,Ewallet
Electronic accessories,41,8,16.4,344.4,Credit card
Food and beverages,17,5,4.25,89.25,Cash
Sports and travel,88,8,35.2,739.2,Credit card
Home and lifestyle,89,9,40.05,841.05,Credit card
Fashion accessories,13,1,0.65,13.65,Ewallet
Sports and travel,19,7,6.65,139.65,Cash
Health and beauty,19,1,0.95,19.95,Credit card
Food and beverages,28,10,14,294,Credit card
Fashion accessories,46,3,6.9,144.9,Credit card
Health and beauty,27,1,1.35,28.35,Credit card
Sports and travel,39,1,1.95,40.95,Credit card
Electronic accessories,75,6,22.5,472.5,Cash
Electronic accessories,22,6,6.6,138.6,Cash
Food and beverages,64,5,16,336,Ewallet
Health and beauty,25,1,1.25,26.25,Ewallet
Electronic accessories,21,4,4.2,88.2,Cash
Fashion accessories,30,5,7.5,157.5,Cash
Food and beverages,77,9,34.65,727.65,Credit card
Electronic accessories,79,10,39.5,829.5,Cash
Electronic accessories,47,10,23.5,493.5,Cash
Food and beverages,36,1,1.8,37.8,Credit card
Food and beverages,41,5,10.25,215.25,Cash
Food and beverages,73,10,36.5,766.5,Credit card
Sports and travel,74,4,14.8,310.8,Cash
Food and beverages,23,1,1.15,24.15,Cash
Food and beverages,51,5,12.75,267.75,Credit card
Sports and travel,55,10,27.5,577.5,Credit card
Health and beauty,37,7,12.95,271.95,Credit card
Sports and travel,37,6,11.1,233.1,Cash
Food and beverages,22,1,1.1,23.1,Ewallet
Electronic accessories,99,1,4.95,103.95,Cash
Home and lifestyle,84,6,25.2,529.2,Ewallet
Sports and travel,40,4,8,168,Cash
Fashion accessories,43,10,21.5,451.5,Credit card
Health and beauty,73,8,29.2,613.2,Cash
Electronic accessories,64,5,16,336,Cash
Health and beauty,65,3,9.75,204.75,Credit card
Sports and travel,33,5,8.25,173.25,Credit card
Electronic accessories,84,4,16.8,352.8,Ewallet
Sports and travel,34,10,17,357,Ewallet
Electronic accessories,39,1,1.95,40.95,Ewallet
Food and beverages,66,8,26.4,554.4,Cash
Electronic accessories,33,10,16.5,346.5,Cash
Sports and travel,37,5,9.25,194.25,Ewallet
Home and lifestyle,60,10,30,630,Cash
Sports and travel,37,10,18.5,388.5,Credit card
Sports and travel,49,4,9.8,205.8,Ewallet
Fashion accessories,41,10,20.5,430.5,Cash
Fashion accessories,37,4,7.4,155.4,Ewallet
Home and lifestyle,23,1,1.15,24.15,Cash
Home and lifestyle,78,9,35.1,737.1,Ewallet
Fashion accessories,35,2,3.5,73.5,Ewallet
Fashion accessories,20,10,10,210,Credit card
Health and beauty,25,8,10,210,Ewallet
Home and lifestyle,12,10,6,126,Credit card
Fashion accessories,100,2,10,210,Ewallet
Sports and travel,76,8,30.4,638.4,Cash
Electronic accessories,63,2,6.3,132.3,Cash
Food and beverages,90,6,27,567,Cash
Sports and travel,98,1,4.9,102.9,Cash
Sports and travel,52,8,20.8,436.8,Cash
Sports and travel,74,1,3.7,77.7,Credit card
Fashion accessories,32,1,1.6,33.6,Ewallet
Home and lifestyle,69,2,6.9,144.9,Ewallet
Sports and travel,93,2,9.3,195.3,Cash
Sports and travel,88,1,4.4,92.4,Credit card
Electronic accessories,24,8,9.6,201.6,Ewallet
Sports and travel,49,3,7.35,154.35,Cash
Food and beverages,84,6,25.2,529.2,Credit card
Health and beauty,61,5,15.25,320.25,Cash
Home and lifestyle,16,6,4.8,100.8,Credit card
Sports and travel,91,7,31.85,668.85,Credit card
Home and lifestyle,43,5,10.75,225.75,Ewallet
Fashion accessories,54,7,18.9,396.9,Ewallet
Electronic accessories,100,7,35,735,Cash
Sports and travel,58,7,20.3,426.3,Credit card
Fashion accessories,51,1,2.55,53.55,Ewallet
Health and beauty,55,5,13.75,288.75,Ewallet
Home and lifestyle,39,5,9.75,204.75,Credit card
Home and lifestyle,35,2,3.5,73.5,Ewallet
Sports and travel,72,5,18,378,Credit card
Electronic accessories,46,3,6.9,144.9,Credit card
Home and lifestyle,83,6,24.9,522.9,Cash
Home and lifestyle,37,6,11.1,233.1,Credit card
Health and beauty,63,2,6.3,132.3,Cash
Food and beverages,82,6,24.6,516.6,Credit card
Sports and travel,91,5,22.75,477.75,Ewallet
Fashion accessories,39,4,7.8,163.8,Credit card
Fashion accessories,60,2,6,126,Ewallet
Food and beverages,54,10,27,567,Credit card
Sports and travel,98,9,44.1,926.1,Cash
Health and beauty,25,6,7.5,157.5,Ewallet
Fashion accessories,87,8,34.8,730.8,Credit card
Electronic accessories,23,10,11.5,241.5,Ewallet
Food and beverages,16,9,7.2,151.2,Ewallet
Home and lifestyle,28,5,7,147,Ewallet
Home and lifestyle,17,7,5.95,124.95,Ewallet
Fashion accessories,74,1,3.7,77.7,Credit card
Home and lifestyle,98,1,4.9,102.9,Ewallet
Fashion accessories,73,4,14.6,306.6,Credit card
Food and beverages,87,6,26.1,548.1,Ewallet
Home and lifestyle,31,3,4.65,97.65,Ewallet
Health and beauty,76,1,3.8,79.8,Credit card
Sports and travel,20,4,4,84,Credit card
Electronic accessories,19,6,5.7,119.7,Credit card
Food and beverages,71,1,3.55,74.55,Credit card
Home and lifestyle,39,4,7.8,163.8,Ewallet
Fashion accessories,29,10,14.5,304.5,Ewallet
Sports and travel,61,9,27.45,576.45,Credit card
Sports and travel,52,5,13,273,Cash
Electronic accessories,66,6,19.8,415.8,Cash
Fashion accessories,57,3,8.55,179.55,Ewallet
Fashion accessories,54,9,24.3,510.3,Cash
Health and beauty,58,9,26.1,548.1,Cash
Electronic accessories,22,6,6.6,138.6,Credit card
Electronic accessories,19,7,6.65,139.65,Cash
Home and lifestyle,37,3,5.55,116.55,Credit card
Fashion accessories,72,2,7.2,151.2,Cash
Food and beverages,99,10,49.5,1039.5,Ewallet
Food and beverages,42,6,12.6,264.6,Ewallet
Home and lifestyle,72,3,10.8,226.8,Ewallet
Electronic accessories,22,9,9.9,207.9,Cash
Food and beverages,89,10,44.5,934.5,Credit card
Electronic accessories,42,8,16.8,352.8,Ewallet
Electronic accessories,75,6,22.5,472.5,Ewallet
Fashion accessories,99,2,9.9,207.9,Cash
Food and beverages,81,10,40.5,850.5,Credit card
Sports and travel,49,10,24.5,514.5,Credit card
Fashion accessories,66,9,29.7,623.7,Cash
Fashion accessories,80,7,28,588,Credit card
Sports and travel,74,7,25.9,543.9,Ewallet
Home and lifestyle,82,5,20.5,430.5,Credit card
Sports and travel,27,10,13.5,283.5,Cash
Food and beverages,10,7,3.5,73.5,Ewallet
Food and beverages,72,2,7.2,151.2,Credit card
Sports and travel,86,5,21.5,451.5,Credit card
Fashion accessories,81,7,28.35,595.35,Ewallet
Food and beverages,60,4,12,252,Cash
Food and beverages,32,4,6.4,134.4,Ewallet
Health and beauty,64,4,12.8,268.8,Cash
Health and beauty,70,2,7,147,Ewallet
Food and beverages,27,3,4.05,85.05,Cash
